+--------+--------+-------+--------------------+-----------+-----------+
|  cust  |  prod  | month |     avg_quant      | max_quant | min_quant |
| Helen  | Grapes |   5   |       684.0        |    886    |    482    |
| Helen  | Jelly  |   12  |       215.0        |    427    |     3     |
| Claire | Dates  |   9   |        152         |    152    |    152    |
| Claire | Jelly  |   6   |        521         |    521    |    521    |
|  Sam   | Butter |   1   |       585.0        |    754    |    328    |
|  Chae  | Grapes |   2   |       448.0        |    585    |    311    |
| Emily  | Dates  |   10  |       411.75       |    901    |     55    |
|  Mia   |  Fish  |   8   |       420.0        |    715    |    125    |
| Claire |  Ice   |   1   |       446.75       |    973    |     42    |
|  Mia   |  Ice   |   3   |       391.5        |    653    |    130    |
| Wally  |  Ham   |   11  |       559.5        |    740    |    379    |
|  Sam   | Cherry |   3   |       616.0        |    865    |    125    |
|  Mia   | Jelly  |   3   |       597.5        |    601    |    594    |
|  Sam   | Butter |   9   |       251.0        |    251    |    251    |
|  Boo   |  Eggs  |   3   |       646.0        |    929    |    377    |
| Helen  | Cherry |   8   |       446.0        |    718    |     41    |
|  Chae  | Apple  |   7   |       579.0        |    812    |    346    |
| Emily  |  Ice   |   3   |       385.5        |    422    |    349    |
|  Chae  |  Eggs  |   11  |       770.0        |    971    |    569    |
|  Dan   | Butter |   1   | 363.6666666666667  |    561    |     83    |
|  Mia   |  Ice   |   10  |       620.5        |    729    |    512    |
| Wally  | Grapes |   9   |       591.0        |    617    |    565    |
|  Sam   | Grapes |   3   |        501         |    501    |    501    |
|  Dan   | Jelly  |   8   |        779         |    779    |    779    |
| Emily  |  Ice   |   9   |        551         |    551    |    551    |
| Wally  |  Ham   |   2   |        103         |    103    |    103    |
| Claire | Jelly  |   9   |       787.0        |    799    |    775    |
| Emily  |  Ham   |   12  |        334         |    334    |    334    |
|  Sam   | Butter |   3   | 544.3333333333334  |    749    |    441    |
|  Mia   |  Ice   |   8   | 313.6666666666667  |    618    |     80    |
| Helen  |  Ham   |   11  |        815         |    815    |    815    |
| Wally  | Apple  |   2   |        233         |    233    |    233    |
| Wally  | Jelly  |   8   |       169.0        |    330    |     8     |
| Emily  | Apple  |   4   |        720         |    720    |    720    |
|  Boo   |  Eggs  |   10  |       246.8        |    422    |    148    |
| Emily  | Butter |   12  |       444.0        |    828    |     21    |
| Wally  |  Ice   |   1   |        957         |    957    |    957    |
|  Sam   |  Fish  |   5   |       460.0        |    903    |     85    |
| Claire | Butter |   11  |        649         |    649    |    649    |
| Wally  |  Ham   |   10  |        632         |    632    |    632    |
| Emily  | Cherry |   3   |       126.0        |    217    |     35    |
| Helen  | Jelly  |   4   |       258.0        |    486    |     30    |
|  Sam   | Apple  |   10  |       751.0        |    983    |    519    |
|  Chae  | Grapes |   10  |       250.5        |    440    |     61    |
| Claire | Dates  |   8   |        599         |    599    |    599    |
| Wally  |  Ham   |   6   |        741         |    741    |    741    |
| Wally  |  Ham   |   12  |        402         |    402    |    402    |
|  Chae  |  Ham   |   9   |        451         |    451    |    451    |
|  Chae  |  Ham   |   7   |        544         |    544    |    544    |
|  Boo   | Grapes |   9   |       210.5        |    391    |     30    |
|  Sam   |  Ice   |   5   | 357.3333333333333  |    948    |     39    |
| Claire |  Fish  |   3   |       903.0        |    991    |    801    |
| Wally  |  Ice   |   12  | 507.3333333333333  |    966    |    131    |
| Wally  |  Fish  |   4   |       381.5        |    634    |     98    |
|  Boo   |  Fish  |   8   |       210.5        |    394    |     27    |
| Helen  |  Eggs  |   6   |       667.5        |    765    |    570    |
| Claire |  Fish  |   10  |        845         |    845    |    845    |
| Wally  | Butter |   7   |       759.5        |    954    |    296    |
|  Mia   |  Ham   |   2   |       331.0        |    515    |    147    |
| Wally  |  Fish  |   9   |       795.0        |    948    |    642    |
|  Mia   | Butter |   6   |        572         |    572    |    572    |
| Emily  |  Ice   |   7   |        506         |    506    |    506    |
|  Sam   | Grapes |   1   |       371.0        |    737    |     5     |
|  Chae  | Cherry |   12  |        150         |    150    |    150    |
|  Sam   |  Eggs  |   12  |       941.0        |    987    |    895    |
| Wally  | Apple  |   5   |       484.0        |    526    |    442    |
|  Sam   |  Ice   |   9   |       466.5        |    731    |    161    |
|  Boo   | Butter |   3   |        412         |    412    |    412    |
|  Boo   | Jelly  |   1   |       912.0        |    966    |    858    |
|  Chae  | Cherry |   1   |       590.5        |    763    |    418    |
| Claire | Butter |   2   |       274.0        |    483    |     13    |
|  Dan   | Cherry |   12  |        602         |    602    |    602    |
| Helen  |  Fish  |   8   |         89         |     89    |     89    |
|  Chae  | Jelly  |   6   |        847         |    847    |    847    |
|  Dan   |  Eggs  |   4   |       295.8        |    845    |     35    |
|  Mia   |  Eggs  |   1   |        612         |    612    |    612    |
|  Chae  | Butter |   1   |        425         |    425    |    425    |
| Helen  |  Ham   |   5   | 793.3333333333334  |    925    |    716    |
| Claire |  Ham   |   10  | 419.3333333333333  |    893    |    152    |
|  Sam   | Cherry |   6   |        220         |    220    |    220    |
|  Boo   | Jelly  |   10  |        562         |    562    |    562    |
| Emily  | Grapes |   8   | 231.66666666666666 |    389    |     59    |
| Claire | Apple  |   7   |        633         |    633    |    633    |
|  Boo   |  Ham   |   1   |        278         |    278    |    278    |
| Wally  |  Eggs  |   11  |       528.8        |    843    |    339    |
| Claire |  Eggs  |   12  |        872         |    872    |    872    |
| Helen  | Dates  |   12  |        296         |    296    |    296    |
|  Boo   |  Eggs  |   12  |         11         |     11    |     11    |
|  Chae  |  Eggs  |   6   |       529.0        |    838    |    220    |
|  Mia   | Dates  |   5   |       319.5        |    605    |     34    |
|  Boo   |  Ham   |   11  |        928         |    928    |    928    |
|  Boo   |  Fish  |   1   |       328.5        |    345    |    312    |
| Emily  |  Eggs  |   2   |        344         |    344    |    344    |
|  Mia   | Grapes |   10  |        134         |    134    |    134    |
|  Chae  | Butter |   6   |       470.0        |    706    |    184    |
|  Mia   | Grapes |   1   |       609.0        |    779    |    477    |
|  Mia   |  Ham   |   10  |       435.0        |    661    |    209    |
| Helen  | Apple  |   9   |       432.0        |    579    |    285    |
|  Boo   | Butter |   9   | 326.6666666666667  |    582    |    172    |
| Claire | Dates  |   12  |       598.5        |    626    |    571    |
| Wally  |  Fish  |   12  |        982         |    982    |    982    |
|  Sam   |  Ice   |   11  | 588.1666666666666  |    827    |    231    |
| Wally  | Dates  |   5   |       700.0        |    998    |    564    |
|  Dan   | Jelly  |   12  |       240.0        |    451    |     8     |
|  Mia   |  Fish  |   7   | 537.4285714285714  |    972    |    110    |
| Emily  |  Ice   |   1   |       542.0        |    560    |    524    |
| Emily  | Grapes |   4   | 785.3333333333334  |    932    |    678    |
|  Boo   | Grapes |   11  |         67         |     67    |     67    |
| Claire | Jelly  |   10  |        518         |    518    |    518    |
|  Sam   |  Fish  |   2   | 377.6666666666667  |    508    |    140    |
|  Mia   |  Ice   |   2   |        636         |    636    |    636    |
| Wally  | Cherry |   4   |        266         |    266    |    266    |
|  Sam   |  Fish  |   12  |       693.0        |    858    |    528    |
|  Boo   |  Ham   |   7   |       556.25       |    807    |     69    |
|  Dan   | Cherry |   3   |       225.5        |    444    |     7     |
|  Chae  |  Fish  |   11  |       348.0        |    496    |    200    |
|  Chae  | Jelly  |   9   |       599.5        |    770    |    429    |
|  Dan   | Apple  |   2   |       647.0        |    996    |    298    |
|  Chae  | Grapes |   6   |        233         |    233    |    233    |
|  Dan   | Grapes |   2   |        834         |    834    |    834    |
|  Chae  | Jelly  |   5   |       707.0        |    997    |    271    |
| Wally  | Butter |   5   |        170         |    170    |    170    |
| Emily  | Dates  |   7   |       581.5        |    743    |    420    |
|  Dan   | Butter |   11  |       941.5        |    982    |    901    |
| Claire | Butter |   8   | 591.6666666666666  |    839    |    362    |
| Wally  | Apple  |   8   |        235         |    235    |    235    |
|  Sam   |  Eggs  |   11  |       246.0        |    278    |    214    |
| Wally  | Jelly  |   1   | 407.3333333333333  |    936    |     56    |
|  Boo   |  Ice   |   12  |        370         |    370    |    370    |
|  Boo   | Dates  |   6   |         16         |     16    |     16    |
|  Mia   |  Ham   |   9   |         48         |     48    |     48    |
| Wally  | Dates  |   7   |       803.5        |    984    |    623    |
|  Dan   | Jelly  |   9   | 622.3333333333334  |    919    |     72    |
| Claire |  Ham   |   6   |       746.0        |    952    |    540    |
|  Dan   |  Ham   |   1   |        476         |    476    |    476    |
| Helen  | Grapes |   7   |         1          |     1     |     1     |
|  Mia   | Apple  |   10  |        730         |    730    |    730    |
|  Chae  | Dates  |   11  |       802.0        |    889    |    715    |
|  Dan   |  Ham   |   2   |        136         |    136    |    136    |
|  Boo   | Dates  |   3   |       477.75       |    914    |    145    |
| Helen  | Jelly  |   3   |        496         |    496    |    496    |
| Wally  | Apple  |   7   |        367         |    367    |    367    |
| Helen  | Grapes |   8   |        844         |    844    |    844    |
|  Chae  |  Eggs  |   9   |        178         |    178    |    178    |
|  Chae  |  Ham   |   3   |       365.5        |    576    |    163    |
|  Sam   | Butter |   5   |       496.0        |    940    |     52    |
|  Dan   | Butter |   10  |       256.5        |    348    |    176    |
| Claire | Grapes |   9   | 735.6666666666666  |    958    |    485    |
| Helen  |  Ham   |   9   |       741.5        |    876    |    607    |
|  Chae  |  Fish  |   12  |       247.5        |    463    |     32    |
| Helen  |  Fish  |   12  |        106         |    106    |    106    |
| Emily  | Grapes |   6   |        682         |    682    |    682    |
|  Dan   |  Fish  |   5   |       636.25       |    877    |    423    |
| Wally  | Jelly  |   5   |       465.0        |    702    |    138    |
|  Sam   | Dates  |   1   |        267         |    267    |    267    |
| Emily  |  Eggs  |   10  |        468         |    468    |    468    |
|  Mia   |  Ham   |   5   |       481.5        |    919    |     44    |
| Wally  | Grapes |   7   | 188.66666666666666 |    518    |     21    |
| Wally  | Apple  |   6   |       388.5        |    733    |     44    |
| Helen  |  Fish  |   6   | 812.3333333333334  |    944    |    599    |
|  Mia   | Dates  |   3   | 356.3333333333333  |    544    |     82    |
| Helen  | Grapes |   6   |        251         |    251    |    251    |
|  Dan   | Jelly  |   10  |       733.5        |    928    |    539    |
|  Dan   | Apple  |   4   |        919         |    919    |    919    |
|  Chae  |  Fish  |   4   |       534.5        |    761    |    308    |
|  Boo   | Butter |   8   |       726.0        |    835    |    617    |
|  Dan   | Apple  |   12  |        209         |    209    |    209    |
| Helen  |  Ham   |   7   |       418.0        |    774    |     62    |
| Wally  | Cherry |   10  |       426.0        |    777    |     23    |
|  Boo   | Jelly  |   3   |       456.5        |    696    |    217    |
|  Boo   | Jelly  |   9   | 126.33333333333333 |    213    |     77    |
| Claire |  Ham   |   8   | 669.6666666666666  |    846    |    544    |
| Helen  | Butter |   7   |        185         |    185    |    185    |
| Claire | Cherry |   6   |         91         |     91    |     91    |
|  Chae  | Apple  |   9   |       529.0        |    676    |    382    |
|  Chae  | Dates  |   2   |        986         |    986    |    986    |
| Helen  | Jelly  |   11  |        699         |    699    |    699    |
|  Boo   | Cherry |   3   |       847.5        |    1000   |    695    |
|  Dan   |  Ice   |   10  |       540.5        |    790    |    298    |
|  Sam   |  Ice   |   4   | 385.6666666666667  |    605    |    272    |
| Wally  | Butter |   2   |       715.25       |    958    |     98    |
| Emily  | Apple  |   8   | 567.3333333333334  |    789    |    331    |
| Wally  | Cherry |   3   |       464.5        |    813    |    116    |
| Claire | Butter |   3   |       504.5        |    658    |    351    |
| Helen  |  Fish  |   4   |       888.5        |    960    |    817    |
|  Mia   | Apple  |   7   |         87         |     87    |     87    |
|  Dan   | Dates  |   11  |       688.0        |    901    |    418    |
|  Sam   |  Ice   |   3   |        185         |    185    |    185    |
| Wally  |  Fish  |   10  |        868         |    868    |    868    |
|  Mia   | Dates  |   8   | 411.6666666666667  |    721    |    206    |
| Emily  |  Fish  |   4   |        120         |    120    |    120    |
| Wally  |  Fish  |   7   |       614.5        |    948    |    281    |
|  Sam   | Dates  |   2   |        976         |    976    |    976    |
|  Dan   |  Ice   |   8   |       670.0        |    886    |    454    |
| Wally  |  Ham   |   5   |        434         |    434    |    434    |
| Helen  | Apple  |   7   | 565.3333333333334  |    714    |    358    |
|  Chae  | Apple  |   4   |        893         |    893    |    893    |
|  Sam   |  Fish  |   8   |        820         |    820    |    820    |
| Wally  | Butter |   8   |        483         |    483    |    483    |
|  Chae  | Apple  |   10  |        249         |    249    |    249    |
|  Boo   |  Fish  |   5   |        309         |    309    |    309    |
|  Dan   |  Fish  |   10  |        738         |    738    |    738    |
|  Mia   |  Ice   |   4   |       604.0        |    670    |    538    |
|  Sam   |  Eggs  |   3   |       640.75       |    826    |    267    |
|  Boo   | Butter |   12  |        560         |    560    |    560    |
|  Sam   | Cherry |   10  |       705.5        |    919    |    492    |
|  Chae  | Apple  |   11  |       537.0        |    661    |    413    |
| Wally  |  Eggs  |   2   | 205.33333333333334 |    411    |     65    |
| Wally  | Grapes |   10  |       625.0        |    693    |    557    |
| Helen  | Dates  |   7   |        503         |    503    |    503    |
| Wally  | Apple  |   10  |       571.0        |    759    |    383    |
|  Sam   |  Ham   |   5   |        123         |    123    |    123    |
| Helen  | Butter |   6   |        992         |    992    |    992    |
| Claire | Butter |   1   |       500.5        |    526    |    475    |
| Helen  | Cherry |   12  |       449.0        |    571    |    327    |
|  Boo   | Butter |   4   |       509.0        |    672    |    346    |
|  Mia   | Jelly  |   10  |         92         |     92    |     92    |
|  Mia   |  Fish  |   2   |       701.25       |    901    |    194    |
|  Sam   |  Ham   |   9   |        218         |    218    |    218    |
|  Chae  | Grapes |   9   |       615.5        |    992    |    239    |
|  Sam   | Butter |   2   |        220         |    220    |    220    |
|  Chae  |  Fish  |   1   |         82         |     82    |     82    |
| Wally  | Apple  |   12  |       474.0        |    912    |     36    |
|  Boo   | Butter |   2   |        748         |    748    |    748    |
|  Sam   | Dates  |   7   |        977         |    977    |    977    |
|  Boo   | Dates  |   5   |       955.5        |    966    |    945    |
|  Sam   |  Ice   |   7   |        683         |    683    |    683    |
| Claire |  Ice   |   8   | 743.3333333333334  |    978    |    298    |
| Emily  | Dates  |   4   |       292.0        |    333    |    251    |
|  Sam   | Cherry |   12  |       264.5        |    432    |     97    |
|  Boo   |  Fish  |   11  |        440         |    440    |    440    |
|  Dan   | Grapes |   7   |        340         |    340    |    340    |
| Claire |  Eggs  |   6   |        980         |    980    |    980    |
|  Dan   | Grapes |   9   |       222.25       |    420    |     24    |
|  Mia   | Apple  |   11  | 553.3333333333334  |    743    |    383    |
|  Mia   |  Fish  |   11  |        293         |    293    |    293    |
| Claire | Dates  |   1   |       482.5        |    753    |    212    |
|  Boo   | Apple  |   2   |       723.5        |    922    |    525    |
|  Boo   |  Ham   |   9   |        148         |    148    |    148    |
|  Boo   | Dates  |   1   |        324         |    324    |    324    |
| Claire | Apple  |   2   |        560         |    560    |    560    |
| Claire |  Fish  |   9   |       551.5        |    670    |    433    |
| Helen  |  Fish  |   7   |       695.0        |    892    |    498    |
|  Boo   | Jelly  |   12  |       413.0        |    665    |    211    |
|  Sam   |  Fish  |   4   |        526         |    526    |    526    |
| Claire |  Eggs  |   5   | 316.6666666666667  |    879    |     13    |
|  Dan   |  Fish  |   7   |        100         |    100    |    100    |
|  Sam   | Dates  |   9   |       640.0        |    878    |    402    |
| Wally  |  Eggs  |   7   |        264         |    264    |    264    |
| Claire |  Eggs  |   4   |         18         |     18    |     18    |
| Claire |  Ham   |   9   |        687         |    687    |    687    |
|  Sam   | Jelly  |   2   | 367.6666666666667  |    440    |    250    |
| Helen  |  Ice   |   4   |       312.5        |    598    |     27    |
|  Mia   |  Ham   |   11  |        161         |    161    |    161    |
|  Mia   | Butter |   9   |       570.0        |    602    |    538    |
|  Dan   |  Fish  |   11  |         63         |     63    |     63    |
| Emily  |  Ham   |   2   |       553.75       |    917    |    153    |
|  Mia   |  Eggs  |   3   | 460.3333333333333  |    743    |    210    |
| Helen  |  Eggs  |   12  |        565         |    565    |    565    |
| Claire | Jelly  |   8   |       624.0        |    695    |    553    |
| Helen  | Butter |   11  |        546         |    546    |    546    |
|  Dan   | Butter |   7   |       354.5        |    602    |    107    |
|  Sam   |  Fish  |   3   |         57         |     57    |     57    |
|  Dan   |  Ice   |   11  |         38         |     38    |     38    |
| Helen  |  Ice   |   6   |        903         |    903    |    903    |
| Emily  |  Eggs  |   9   | 654.3333333333334  |    963    |    314    |
|  Dan   |  Ham   |   9   |       583.5        |    973    |    194    |
|  Boo   | Grapes |   4   |       484.5        |    916    |     53    |
|  Sam   | Grapes |   9   |         23         |     23    |     23    |
| Helen  |  Fish  |   5   |       336.5        |    470    |    203    |
| Emily  |  Fish  |   3   |        309         |    309    |    309    |
|  Boo   | Grapes |   8   |       611.0        |    868    |    354    |
|  Boo   | Jelly  |   4   |       312.0        |    571    |     53    |
|  Sam   | Apple  |   2   |        809         |    809    |    809    |
|  Mia   |  Fish  |   3   |       618.2        |    895    |    437    |
|  Mia   |  Ham   |   8   |       604.0        |    907    |    301    |
| Claire | Apple  |   3   |       450.5        |    770    |    131    |
| Emily  | Apple  |   5   |        605         |    605    |    605    |
|  Sam   |  Eggs  |   10  |       173.0        |    285    |     61    |
| Emily  |  Fish  |   12  |        432         |    432    |    432    |
|  Mia   | Cherry |   3   |        358         |    358    |    358    |
|  Chae  | Butter |   7   | 766.6666666666666  |    943    |    658    |
|  Boo   |  Ice   |   4   |        409         |    409    |    409    |
|  Boo   | Apple  |   5   |        415         |    415    |    415    |
|  Dan   | Dates  |   9   |       550.75       |    817    |    331    |
| Claire |  Fish  |   6   |        698         |    698    |    698    |
| Helen  |  Ice   |   3   |         80         |     80    |     80    |
|  Dan   | Cherry |   10  |        626         |    626    |    626    |
|  Sam   |  Ham   |   4   |       351.0        |    821    |     58    |
|  Sam   | Cherry |   4   |        439         |    439    |    439    |
|  Chae  | Cherry |   5   |        350         |    350    |    350    |
| Helen  | Apple  |   12  |        887         |    887    |    887    |
|  Boo   |  Ice   |   9   |        934         |    934    |    934    |
|  Dan   | Grapes |   1   |       215.0        |    362    |     68    |
|  Boo   | Dates  |   11  | 264.3333333333333  |    342    |    184    |
|  Mia   |  Eggs  |   6   | 451.3333333333333  |    997    |     17    |
|  Mia   | Butter |   7   |        737         |    737    |    737    |
| Helen  | Cherry |   7   |        988         |    988    |    988    |
|  Dan   | Jelly  |   11  |        133         |    133    |    133    |
|  Sam   |  Ham   |   6   |         15         |     15    |     15    |
|  Boo   |  Eggs  |   2   |        415         |    415    |    415    |
|  Boo   | Cherry |   5   | 429.6666666666667  |    652    |     61    |
| Claire | Butter |   10  |        609         |    609    |    609    |
| Claire | Apple  |   6   |        58.0        |    107    |     17    |
| Claire |  Eggs  |   7   |       452.0        |    658    |    246    |
|  Boo   |  Fish  |   2   | 558.6666666666666  |    879    |     85    |
|  Chae  | Butter |   8   | 577.6666666666666  |    938    |    286    |
|  Mia   | Grapes |   8   |        659         |    659    |    659    |
|  Chae  |  Eggs  |   5   |        706         |    706    |    706    |
|  Dan   | Dates  |   8   |        463         |    463    |    463    |
|  Sam   |  Eggs  |   7   |        100         |    100    |    100    |
|  Chae  | Apple  |   2   |        300         |    300    |    300    |
|  Chae  |  Ham   |   12  |        163         |    163    |    163    |
|  Mia   |  Ham   |   1   |        937         |    937    |    937    |
|  Sam   | Dates  |   3   |       578.5        |    906    |    251    |
|  Boo   |  Fish  |   9   |        392         |    392    |    392    |
| Wally  | Jelly  |   6   |        453         |    453    |    453    |
| Wally  |  Ice   |   6   |        254         |    254    |    254    |
|  Chae  |  Eggs  |   2   |         44         |     44    |     44    |
|  Chae  |  Eggs  |   8   |        720         |    720    |    720    |
|  Chae  | Jelly  |   4   |       978.5        |    992    |    965    |
| Wally  |  Eggs  |   12  |        934         |    934    |    934    |
| Emily  | Dates  |   5   |       572.5        |    827    |    318    |
| Emily  | Dates  |   6   |        995         |    995    |    995    |
|  Boo   | Apple  |   11  |       283.5        |    307    |    260    |
|  Dan   |  Fish  |   2   |        702         |    702    |    702    |
|  Dan   | Butter |   2   |       472.5        |    614    |    331    |
| Emily  | Jelly  |   12  |       349.0        |    359    |    339    |
|  Dan   | Butter |   5   |       338.0        |    465    |    211    |
|  Sam   | Grapes |   11  |       403.0        |    697    |    109    |
|  Boo   | Apple  |   6   |        171         |    171    |    171    |
|  Dan   | Grapes |   3   |       348.0        |    561    |    158    |
| Helen  | Grapes |   1   |       728.0        |    964    |    522    |
| Wally  | Jelly  |   12  |       516.5        |    702    |    331    |
|  Dan   |  Eggs  |   1   |       696.0        |    852    |    540    |
| Emily  | Cherry |   4   |        459         |    459    |    459    |
|  Boo   | Dates  |   7   |       531.5        |    776    |    265    |
|  Mia   | Dates  |   10  |        442         |    442    |    442    |
|  Boo   |  Fish  |   10  |        989         |    989    |    989    |
|  Boo   | Dates  |   8   |        961         |    961    |    961    |
|  Chae  |  Ham   |   6   |       676.0        |    729    |    623    |
| Emily  |  Eggs  |   4   |        416         |    416    |    416    |
| Claire | Dates  |   10  |        846         |    846    |    846    |
| Emily  | Apple  |   2   |        679         |    679    |    679    |
|  Sam   |  Fish  |   6   |       570.5        |    797    |    344    |
| Emily  |  Ice   |   10  |        152         |    152    |    152    |
|  Dan   |  Ice   |   7   |       581.0        |    914    |    248    |
| Helen  |  Ice   |   8   |       502.5        |    686    |    319    |
| Emily  | Cherry |   9   |       395.0        |    770    |     69    |
|  Boo   | Grapes |   1   |        169         |    169    |    169    |
| Claire |  Eggs  |   3   |        827         |    827    |    827    |
|  Sam   | Dates  |   12  |       720.0        |    996    |    444    |
|  Sam   | Cherry |   8   |        240         |    240    |    240    |
| Wally  |  Ice   |   7   |       648.0        |    877    |    419    |
| Helen  | Apple  |   6   |        727         |    727    |    727    |
|  Mia   | Dates  |   2   |        608         |    608    |    608    |
| Helen  | Grapes |   12  |        790         |    790    |    790    |
|  Sam   | Dates  |   4   |        832         |    832    |    832    |
| Wally  | Cherry |   8   |        825         |    825    |    825    |
|  Boo   |  Ham   |   6   | 352.6666666666667  |    699    |     91    |
| Claire | Cherry |   4   |        327         |    327    |    327    |
|  Dan   |  Ham   |   7   |        638         |    638    |    638    |
|  Boo   | Jelly  |   5   |        508         |    508    |    508    |
|  Chae  | Dates  |   5   |        524         |    524    |    524    |
|  Chae  | Butter |   4   |       495.5        |    925    |     66    |
|  Mia   | Jelly  |   4   |       887.0        |    970    |    804    |
|  Mia   | Cherry |   4   |         31         |     31    |     31    |
| Emily  |  Ham   |   1   |         92         |     92    |     92    |
| Helen  | Cherry |   11  |       698.5        |    846    |    551    |
| Wally  |  Eggs  |   3   |        763         |    763    |    763    |
| Claire | Grapes |   12  |        323         |    323    |    323    |
|  Sam   |  Ice   |   10  |       389.5        |    624    |    155    |
|  Dan   | Cherry |   7   |        632         |    632    |    632    |
|  Sam   | Apple  |   4   |        983         |    983    |    983    |
| Helen  |  Ice   |   2   |        128         |    128    |    128    |
| Helen  | Jelly  |   9   |        848         |    848    |    848    |
|  Dan   |  Fish  |   3   |       137.5        |    268    |     7     |
|  Mia   | Jelly  |   1   |        991         |    991    |    991    |
|  Chae  | Cherry |   6   |         19         |     19    |     19    |
|  Boo   | Jelly  |   2   |         71         |     71    |     71    |
| Claire |  Ice   |   7   |        616         |    616    |    616    |
|  Sam   | Butter |   4   |       378.5        |    491    |    266    |
| Helen  |  Ham   |   12  |       470.0        |    775    |    165    |
|  Mia   | Jelly  |   9   |        497         |    497    |    497    |
|  Dan   |  Eggs  |   10  |        643         |    643    |    643    |
| Wally  | Apple  |   9   |        863         |    863    |    863    |
|  Dan   |  Fish  |   6   |        972         |    972    |    972    |
|  Dan   | Jelly  |   3   |        372         |    372    |    372    |
| Helen  | Cherry |   3   |       687.5        |    943    |    432    |
|  Chae  |  Fish  |   5   |        224         |    224    |    224    |
|  Chae  |  Fish  |   10  |        58.5        |    100    |     17    |
| Helen  |  Eggs  |   7   |         95         |     95    |     95    |
| Wally  | Grapes |   2   |        417         |    417    |    417    |
|  Dan   | Dates  |   10  |        795         |    795    |    795    |
|  Dan   | Apple  |   8   |        258         |    258    |    258    |
| Emily  | Grapes |   7   |        296         |    296    |    296    |
| Claire | Butter |   6   |        239         |    239    |    239    |
|  Mia   | Jelly  |   11  |        762         |    762    |    762    |
| Emily  | Jelly  |   2   |       503.5        |    881    |    126    |
|  Boo   | Cherry |   7   |        137         |    137    |    137    |
|  Dan   |  Ice   |   12  |         29         |     29    |     29    |
| Emily  | Butter |   6   |       278.0        |    392    |    164    |
|  Boo   |  Ham   |   8   |        496         |    496    |    496    |
|  Chae  | Jelly  |   3   |        641         |    641    |    641    |
|  Sam   |  Fish  |   7   |        95.5        |    120    |     71    |
|  Sam   | Grapes |   5   |        142         |    142    |    142    |
|  Mia   | Grapes |   7   |       501.0        |    669    |    333    |
| Wally  |  Ham   |   4   |        279         |    279    |    279    |
|  Chae  |  Fish  |   7   |        689         |    689    |    689    |
| Helen  | Grapes |   3   |        435         |    435    |    435    |
| Claire |  Ice   |   11  |        396         |    396    |    396    |
|  Dan   |  Ham   |   4   |        120         |    120    |    120    |
|  Sam   |  Ham   |   7   |        618         |    618    |    618    |
|  Boo   | Cherry |   12  |        626         |    626    |    626    |
|  Dan   |  Ham   |   10  |        444         |    444    |    444    |
| Claire | Jelly  |   1   |        865         |    865    |    865    |
|  Mia   |  Eggs  |   11  |        275         |    275    |    275    |
| Helen  | Dates  |   4   |       608.0        |    879    |    337    |
|  Sam   | Dates  |   5   |        288         |    288    |    288    |
|  Chae  | Apple  |   5   |        494         |    494    |    494    |
| Helen  |  Fish  |   10  |        515         |    515    |    515    |
|  Dan   | Apple  |   6   |        166         |    166    |    166    |
|  Sam   | Jelly  |   6   |       781.5        |    872    |    691    |
|  Sam   |  Ham   |   11  |       462.0        |    669    |    255    |
|  Sam   |  Fish  |   11  |        667         |    667    |    667    |
| Claire |  Ice   |   6   |        789         |    789    |    789    |
| Claire | Dates  |   3   |        102         |    102    |    102    |
| Claire | Cherry |   1   |        291         |    291    |    291    |
|  Boo   | Apple  |   9   |        333         |    333    |    333    |
| Wally  | Grapes |   8   |        832         |    832    |    832    |
|  Sam   |  Fish  |   9   |       233.5        |    299    |    168    |
|  Chae  | Cherry |   10  |         60         |     60    |     60    |
| Emily  | Butter |   5   |        842         |    842    |    842    |
|  Mia   | Dates  |   7   |        947         |    947    |    947    |
| Wally  |  Eggs  |   4   |        953         |    953    |    953    |
|  Chae  |  Ham   |   2   |       373.5        |    395    |    352    |
| Helen  |  Ice   |   9   |        970         |    970    |    970    |
|  Mia   |  Fish  |   6   |        975         |    975    |    975    |
| Helen  |  Eggs  |   10  |       526.5        |    527    |    526    |
|  Chae  | Grapes |   11  |        513         |    513    |    513    |
| Emily  | Cherry |   2   |        601         |    601    |    601    |
| Claire | Apple  |   12  |        894         |    894    |    894    |
| Wally  |  Ham   |   7   |        892         |    892    |    892    |
| Wally  | Jelly  |   7   |        201         |    201    |    201    |
| Emily  | Jelly  |   10  |        756         |    756    |    756    |
|  Sam   |  Eggs  |   4   |        221         |    221    |    221    |
| Emily  | Jelly  |   1   |        882         |    882    |    882    |
| Helen  | Butter |   2   |         13         |     13    |     13    |
|  Dan   | Cherry |   5   |        895         |    895    |    895    |
|  Boo   | Grapes |   3   |        461         |    461    |    461    |
|  Dan   |  Fish  |   1   |         91         |     91    |     91    |
|  Sam   |  Ham   |   10  |        941         |    941    |    941    |
| Helen  |  Eggs  |   3   |        708         |    708    |    708    |
| Claire | Cherry |   12  |        437         |    437    |    437    |
| Emily  | Grapes |   1   |        227         |    227    |    227    |
|  Dan   |  Eggs  |   5   |        900         |    900    |    900    |
| Claire |  Eggs  |   11  |        629         |    629    |    629    |
|  Sam   | Butter |   10  |        715         |    715    |    715    |
| Claire |  Fish  |   12  |        987         |    987    |    987    |
| Wally  | Butter |   6   |        753         |    753    |    753    |
